iter	Passed	Remaining
415	2796	3925
416	2803	3919
417	2808	3910
418	2815	3904
419	2821	3896
420	2826	3886
421	2832	3879
422	2838	3871
423	2845	3865
424	2851	3857
425	2856	3849
426	2862	3840
427	2867	3832
428	2876	3828
429	2883	3822
430	2890	3815
431	2896	3808
432	2903	3801
433	2910	3795
434	2916	3787
435	2922	3780
436	2927	3771
437	2932	3763
438	2938	3754
439	2943	3746
440	2949	3738
441	2956	3732
442	2963	3725
443	2968	3717
444	2974	3710
445	2979	3701
446	2985	3693
447	2992	3686
448	2997	3679
449	3003	3670
450	3008	3662
451	3015	3655
452	3022	3649
453	3029	3643
454	3038	3638
455	3044	3632
456	3052	3627
457	3059	3620
458	3066	3614
459	3074	3609
460	3082	3603
461	3090	3598
462	3097	3592
463	3105	3586
464	3113	3582
465	3122	3578
466	3130	3573
467	3136	3565
468	3142	3557
469	3148	3550
470	3154	3543
471	3161	3536
472	3167	3528
473	3173	3521
474	3179	3514
475	3185	3506
476	3190	3498
477	3195	3489
478	3201	3482
479	3207	3474
480	3213	3466
481	3219	3460
482	3227	3454
483	3232	3446
484	3238	3438
485	3244	3431
486	3251	3424
487	3256	3416
488	3262	3409
489	3269	3402
490	3275	3395
491	3281	3388
492	3288	3381
493	3295	3375
494	3301	3368
495	3307	3360
496	3313	3353
497	3320	3346
498	3326	3340
499	3333	3333
500	3338	3325
501	3345	3318
502	3350	3310
503	3356	3303
504	3363	3297
505	3370	3290
506	3376	3283
507	3383	3276
508	3389	3269
509	3396	3262
510	3401	3255
511	3407	3247
512	3414	3241
513	3421	3235
514	3428	3228
515	3435	3222
516	3441	3215
517	3448	3208
518	3453	3201
519	3460	3194
520	3466	3186
521	3472	3179
522	3478	3172
523	3485	3166
524	3492	3160
525	3498	3152
526	3504	3145
527	3510	3138
528	3515	3129
529	3522	3123
530	3528	3116
531	3534	3109
532	3541	3102
533	3547	3095
534	3553	3088
535	3560	3082
536	3566	3075
537	3573	3068
538	3578	3060
539	3584	3053
540	3589	3045
541	3595	3038
542	3602	3032
543	3609	3025
544	3615	3018
545	3622	3011
546	3626	3003
547	3633	2996
548	3639	2990
549	3645	2982
550	3651	2975
551	3658	2969
